#DB_VERSION: 1,,,,,,,,,,,,,,,,,,,,
#No,Connection_ID,Tag,Describe,LOW,HI,Unit,Device_ID,Comment,Station_ID,List_No,TestValue,TotalOffset,Chassis,Slot,Channel,OverLower(/100%),OverUpper(/100%),OverDeadZone,OverSettings,Type
#,,,,,,,,,,,,,,,,,,,,
#YJ5_38,,,,,,,,,,,,,,,,,,,,
0,1,ZRCV005MD,LETDOWN FLOW,0,1,-,38,SIMHW_SBA,38,960,0.2139767,0x9003c0,2,2,1,0.1,0.1,0,4,
1,1,ZRCV018MD,CHARGING FLOW,0,1,-,38,SIMHW_SBA,38,964,0.08727721,0x9003c4,2,2,2,0.1,0.1,0,4,
2,1,ZREA060MD,DIRECT BOR. LINE FL.,0,1,-,38,SIMHW_SBA,38,968,1.34E-05,0x9003c8,2,2,3,0.1,0.1,0,4,
3,1,ZRIC001MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,972,13.22647,0x9003cc,2,2,4,0.1,0.1,0,4,TC_K
4,1,ZRIC003MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,976,13.24984,0x9003d0,2,2,5,0.1,0.1,0,4,TC_K
5,1,ZRIC005MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,980,13.24984,0x9003d4,2,2,6,0.1,0.1,0,4,TC_K
6,1,ZRIC008MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,984,13.33329,0x9003d8,2,2,7,0.1,0.1,0,4,TC_K
7,1,ZRIC010MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,988,13.59365,0x9003dc,2,2,8,0.1,0.1,0,4,TC_K
8,1,ZRIC012MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,992,13.32327,0x9003e0,2,2,9,0.1,0.1,0,4,TC_K
9,1,ZRIC014MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,996,13.22647,0x9003e4,2,2,10,0.1,0.1,0,4,TC_K
10,1,ZRIC016MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1000,13.59365,0x9003e8,2,2,11,0.1,0.1,0,4,TC_K
11,1,ZRIC018MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1004,13.58364,0x9003ec,2,2,12,0.1,0.1,0,4,TC_K
12,1,ZRIC020MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1008,13.25985,0x9003f0,2,2,13,0.1,0.1,0,4,TC_K
13,1,ZRIC022MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1012,13.51354,0x9003f4,2,2,14,0.1,0.1,0,4,TC_K
14,1,ZRIC024MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1016,13.5102,0x9003f8,2,2,15,0.1,0.1,0,4,TC_K
15,1,ZRIC026MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1020,13.51354,0x9003fc,2,2,16,0.1,0.1,0,4,TC_K
16,1,ZRIC028MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1040,13.21646,0x900410,2,3,1,0.1,0.1,0,4,TC_K
17,1,ZRIC030MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1044,13.59031,0x900414,2,3,2,0.1,0.1,0,4,TC_K
18,1,ZRIC032MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1048,13.59031,0x900418,2,3,3,0.1,0.1,0,4,TC_K
19,1,ZRIC034MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1052,13.23983,0x90041c,2,3,4,0.1,0.1,0,4,TC_K
20,1,ZRIC035MT,CORE HEAD TEMP.,-10,60,mV,38,SIMHW_SBA,38,1056,11.95137,0x900420,2,3,5,0.1,0.1,0,4,TC_K
21,1,ZRIC037MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1060,13.38336,0x900424,2,3,6,0.1,0.1,0,4,TC_K
22,1,ZRIC039MT,CORE OUTLET TEMP.,-10,60,mV,38,SIMHW_SBA,38,1064,13.26987,0x900428,2,3,7,0.1,0.1,0,4,TC_K
23,1,ZDVD001MT,DG ROOM AIR TEMP.,95,255,次,38,SIMHW_SBA,38,1068,112.2604,0x90042c,2,3,8,0.1,0.1,0,4,PT100
24,1,ZDVD002MT,DG ROOM AIR TEMP.,95,255,次,38,SIMHW_SBA,38,1072,112.2604,0x900430,2,3,9,0.1,0.1,0,4,PT100
25,1,ZDVD003MT,DG ROOM AIR TEMP.,95,255,次,38,SIMHW_SBA,38,1076,112.2604,0x900434,2,3,10,0.1,0.1,0,4,PT100
26,0,ZASG012VD_1E_IN1,ASG012VD CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1080,0.001335185,0x900438,2,3,11,0.1,0.1,0,4,
27,0,ZASG014VD_1E_IN1,ASG014VD CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1088,0.001335185,0x900440,2,3,13,0.1,0.1,0,4,
28,0,ZASG016VD_1E_IN1,ASG016VD CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1096,0.001335185,0x900448,2,3,15,0.1,0.1,0,4,
29,0,ZRCV061VP_1E_IN1,RCV061VP CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1120,34.99748,0x900460,2,4,1,0.1,0.1,0,4,
30,0,ZRCV046VP_1E_IN1,RCV046VP CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1128,59.54104,0x900468,2,4,3,0.1,0.1,0,4,
31,0,ZRRA013VP_1E_IN1,RRA013VP CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1136,0.001335185,0x900470,2,4,5,0.1,0.1,0,4,
32,0,ZRRA024VP_1E_IN1,RRA024VP CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1144,69.9984,0x900478,2,4,7,0.1,0.1,0,4,
33,0,ZASG013VD_1E_IN1,ASG013VD CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1152,0.001335185,0x900480,2,4,9,0.1,0.1,0,4,
34,0,ZASG015VD_1E_IN1,ASG015VD CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1160,0.001335185,0x900488,2,4,11,0.1,0.1,0,4,
35,0,ZASG017VD_1E_IN1,ASG017VD CTRL SIGN.,0,100,%open,38,SIMHW_SBA,38,1168,0.001335185,0x900490,2,4,13,0.1,0.1,0,4,
#YJ5_68,,,,,,,,,,,,,,,,,,,,
36,1,ZRIC002MT,CORE HEAD TEMP.,-10,60,mV,68,SIMHW_SBB,68,960,11.95137,0xf003c0,2,2,1,0.1,0.1,0,4,TC_K
37,1,ZRIC004MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,964,13.39337,0xf003c4,2,2,2,0.1,0.1,0,4,TC_K
38,1,ZRIC006MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,968,13.25318,0xf003c8,2,2,3,0.1,0.1,0,4,TC_K
39,1,ZRIC007MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,972,13.21646,0xf003cc,2,2,4,0.1,0.1,0,4,TC_K
40,1,ZRIC009MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,976,13.59031,0xf003d0,2,2,5,0.1,0.1,0,4,TC_K
41,1,ZRIC011MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,980,13.58697,0xf003d4,2,2,6,0.1,0.1,0,4,TC_K
42,1,ZRIC013MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,984,13.24984,0xf003d8,2,2,7,0.1,0.1,0,4,TC_K
43,1,ZRIC015MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,988,13.51354,0xf003dc,2,2,8,0.1,0.1,0,4,TC_K
44,1,ZRIC017MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,992,13.5102,0xf003e0,2,2,9,0.1,0.1,0,4,TC_K
45,1,ZRIC019MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,996,13.52355,0xf003e4,2,2,10,0.1,0.1,0,4,TC_K
46,1,ZRIC021MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1000,13.22647,0xf003e8,2,2,11,0.1,0.1,0,4,TC_K
47,1,ZRIC023MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1004,13.59365,0xf003ec,2,2,12,0.1,0.1,0,4,TC_K
48,1,ZRIC025MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1008,13.58697,0xf003f0,2,2,13,0.1,0.1,0,4,TC_K
49,1,ZRIC027MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1012,13.24984,0xf003f4,2,2,14,0.1,0.1,0,4,TC_K
50,1,ZRIC029MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1016,13.32327,0xf003f8,2,2,15,0.1,0.1,0,4,TC_K
51,1,ZRIC031MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1020,13.59031,0xf003fc,2,2,16,0.1,0.1,0,4,TC_K
52,1,ZRIC033MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1040,13.35332,0xf00410,2,3,1,0.1,0.1,0,4,TC_K
53,1,ZRIC036MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1044,13.25652,0xf00414,2,3,2,0.1,0.1,0,4,TC_K
54,1,ZRIC038MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1048,13.25652,0xf00418,2,3,3,0.1,0.1,0,4,TC_K
55,1,ZRIC040MT,CORE OUTLET TEMP.,-10,60,mV,68,SIMHW_SBB,68,1052,13.21646,0xf0041c,2,3,4,0.1,0.1,0,4,TC_K
56,1,ZDVD004MT,DG ROOM AIR TEMP.,95,255,次,68,SIMHW_SBB,68,1056,112.2527,0xf00420,2,3,5,0.1,0.1,0,4,PT100
57,1,ZDVD005MT,DG ROOM AIR TEMP.,95,255,次,68,SIMHW_SBB,68,1060,112.2527,0xf00424,2,3,6,0.1,0.1,0,4,PT100
58,1,ZDVD006MT,DG ROOM AIR TEMP.,95,255,次,68,SIMHW_SBB,68,1064,112.2527,0xf00428,2,3,7,0.1,0.1,0,4,PT100
#YJ5_118,,,,,,,,,,,,,,,,,,,,
59,1,Z5KRT002MA,APG SG2 Gamma Activity,3.568,9.568,-,120,SIMHW_RPC,118,10560,3.56808,0x1502940,4,2,1,0.1,0.1,0,4,
60,1,Z5KRT003MA,APG SG3 Gamma Activity,3.568,9.568,-,120,SIMHW_RPC,118,10564,3.56808,0x1502944,4,2,2,0.1,0.1,0,4,
61,1,Z5KRT004MA,APG SG1 Gamma Activity,3.568,9.568,-,120,SIMHW_RPC,118,10568,3.56808,0x1502948,4,2,3,0.1,0.1,0,4,
62,1,Z5KRT022MA,Reactor Building Post Accident Gamma Dose Rate,-3,5,-,120,SIMHW_RPC,118,10572,-2.999893,0x150294c,4,2,4,0.1,0.1,0,4,
63,1,Z5KRT023MA,REACTOR BUILDING POST ACCIDENT GAMMA DOSE RATE,-3,5,-,120,SIMHW_RPC,118,10576,-2.999893,0x1502950,4,2,5,0.1,0.1,0,4,
64,1,Z5KRT032MA1,SG 2 COOLANT LEAK RATE,-1,3.69897,-,120,SIMHW_RPC,118,10580,-0.9999372,0x1502954,4,2,6,0.1,0.1,0,4,
65,1,Z5KRT032MA2,SG 2 STEAM AIR ACTIVITY,-0.30103,3.69897,-,120,SIMHW_RPC,118,10584,-0.3009766,0x1502958,4,2,7,0.1,0.1,0,4,
66,1,Z5KRT033MA1,SG 3 COOLANT LEAK RATE,-1,3.69897,-,120,SIMHW_RPC,118,10588,-0.9999372,0x150295c,4,2,8,0.1,0.1,0,4,
67,1,Z5KRT033MA2,SG 3 STEAM AIR ACTIVITY,-0.30103,3.69897,-,120,SIMHW_RPC,118,10592,-0.3009766,0x1502960,4,2,9,0.1,0.1,0,4,
68,1,Z5KRT034MA1,SG 1 COOLANT LEAK RATE,-1,3.69897,-,120,SIMHW_RPC,118,10596,-0.9999372,0x1502964,4,2,10,0.1,0.1,0,4,
69,1,Z5KRT034MA2,SG 1 STEAM AIR ACTIVITY,-0.30103,3.69897,-,120,SIMHW_RPC,118,10600,-0.3009766,0x1502968,4,2,11,0.1,0.1,0,4,
70,1,ZARE010MN,RCP1GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10604,-2.75E-05,0x150296c,4,2,12,0.1,0.1,0,4,
71,1,ZARE020MN,RCP2GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10608,-2.75E-05,0x1502970,4,2,13,0.1,0.1,0,4,
72,1,ZARE030MN,RCP3GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10612,-2.75E-05,0x1502974,4,2,14,0.1,0.1,0,4,
73,1,ZARE043MD,SG1 FEEDWATE R FLOW,0,1,-,120,SIMHW_RPC,118,10616,0.6395668,0x1502978,4,2,15,0.1,0.1,0,4,
74,1,ZARE044MD,SG2 FEEDWATE R FLOW,0,1,-,120,SIMHW_RPC,118,10620,0.6381363,0x150297c,4,2,16,0.1,0.1,0,4,
75,1,ZARE045MD,SG3 FEEDWATE R FLOW,0,1,-,120,SIMHW_RPC,118,10640,0.6406159,0x1502990,4,3,1,0.1,0.1,0,4,
76,1,ZARE046MD,SG1 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10644,0.6395668,0x1502994,4,3,2,0.1,0.1,0,4,
77,1,ZARE047MD,SG2 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10648,0.6381363,0x1502998,4,3,3,0.1,0.1,0,4,
78,1,ZARE048MD,SG3 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10652,0.6406159,0x150299c,4,3,4,0.1,0.1,0,4,
79,1,ZARE049MD,GV1 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10656,1.000019,0x15029a0,4,3,5,0.1,0.1,0,4,
80,1,ZARE050MD,GV2 FEEDWATE R FLOW,0,1,-,120,SIMHW_RPC,118,10660,1.000019,0x15029a4,4,3,6,0.1,0.1,0,4,
81,1,ZARE051MD,GV3 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10664,1.000019,0x15029a8,4,3,7,0.1,0.1,0,4,
82,1,ZARE052MN,RCP1GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10668,-2.75E-05,0x15029ac,4,3,8,0.1,0.1,0,4,
83,1,ZARE053MN,RCP2GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10672,-2.75E-05,0x15029b0,4,3,9,0.1,0.1,0,4,
84,1,ZARE054MN,RCP3GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10676,-2.75E-05,0x15029b4,4,3,10,0.1,0.1,0,4,
85,1,ZARE055MN,RCP1GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10680,-2.75E-05,0x15029b8,4,3,11,0.1,0.1,0,4,
86,1,ZARE056MN,RCP2GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10684,-2.75E-05,0x15029bc,4,3,12,0.1,0.1,0,4,
87,1,ZARE057MN,RCP3GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10688,-2.75E-05,0x15029c0,4,3,13,0.1,0.1,0,4,
88,1,ZARE058MN,RCP1GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10692,-2.75E-05,0x15029c4,4,3,14,0.1,0.1,0,4,
89,1,ZARE059MN,RCP2GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10696,-2.75E-05,0x15029c8,4,3,15,0.1,0.1,0,4,
90,1,ZARE060MN,RCP3GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10700,-2.75E-05,0x15029cc,4,3,16,0.1,0.1,0,4,
91,1,ZARE061MN,RCP1GV WATER LVL WR,-12.65,3.25,m,120,SIMHW_RPC,118,10720,-1.502816,0x15029e0,4,4,1,0.1,0.1,0,4,
92,1,ZARE062MN,RCP2GV WATER LVL WR,-12.65,3.25,m,120,SIMHW_RPC,118,10724,-1.502816,0x15029e4,4,4,2,0.1,0.1,0,4,
93,1,ZARE063MN,RCP3GV WATER LVL WR,-12.65,3.25,m,120,SIMHW_RPC,118,10728,-1.502816,0x15029e8,4,4,3,0.1,0.1,0,4,
94,1,ZASG001MD,SG1 MAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10732,1.34E-05,0x15029ec,4,4,4,0.1,0.1,0,4,
95,1,ZASG001MN,001BA LEVEL,0.3,15.4,m,120,SIMHW_RPC,118,10736,13.40072,0x15029f0,4,4,5,0.1,0.1,0,4,
96,1,ZASG002MD,SG2 MAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10740,1.34E-05,0x15029f4,4,4,6,0.1,0.1,0,4,
97,1,ZASG003MD,SG3 MAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10744,1.34E-05,0x15029f8,4,4,7,0.1,0.1,0,4,
98,1,ZASG011MN,001BA LEVEL,0.3,15.4,m,120,SIMHW_RPC,118,10748,13.40072,0x15029fc,4,4,8,0.1,0.1,0,4,
99,1,ZASG021MD,SG1 TAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10752,1.34E-05,0x1502a00,4,4,9,0.1,0.1,0,4,
100,1,ZASG022MD,SG2 TAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10756,1.34E-05,0x1502a04,4,4,10,0.1,0.1,0,4,
101,1,ZASG023MD,SG3 TAFP FLOW(WR),0,1,-,120,SIMHW_RPC,118,10760,1.34E-05,0x1502a08,4,4,11,0.1,0.1,0,4,
102,1,ZEAS003MN,RCIRULG.SUMP LEVEL,-3.4,-1,m,120,SIMHW_RPC,118,10764,-3.499992,0x1502a0c,4,4,12,0.1,0.1,0,4,
103,1,ZEAS004MN,RCIRULG.SUMP LEVEL,-3.4,-1,m,120,SIMHW_RPC,118,10768,-3.499992,0x1502a10,4,4,13,0.1,0.1,0,4,
104,1,ZEAS007MD,CONT.SPRAY FLOW,0,1,-,120,SIMHW_RPC,118,10772,1.34E-05,0x1502a14,4,4,14,0.1,0.1,0,4,
105,1,ZEAS008MD,CONT.SPRAY FLOW,0,1,-,120,SIMHW_RPC,118,10776,1.34E-05,0x1502a18,4,4,15,0.1,0.1,0,4,
106,1,ZETY101MP,CONTAINMENT PRES.,0,600,kPa.A,120,SIMHW_RPC,118,10780,97.91521,0x1502a1c,4,4,16,0.1,0.1,0,4,
107,1,ZETY102MP,CONTAINMENT PRES.,0,600,kPa.A,120,SIMHW_RPC,118,10800,97.91521,0x1502a30,4,5,1,0.1,0.1,0,4,
108,1,ZETY103MP,CONTAINMENT PRES.,0,600,kPa.A,120,SIMHW_RPC,118,10804,97.91521,0x1502a34,4,5,2,0.1,0.1,0,4,
109,1,ZETY104MP,CONTAINMENT PRES.,0,600,kPa.A,120,SIMHW_RPC,118,10808,97.91521,0x1502a38,4,5,3,0.1,0.1,0,4,
110,1,ZGRE022MP,TURB.ADMSN.PRES.,0.11,7.6,MPa,120,SIMHW_RPC,118,10812,6.030416,0x1502a3c,4,5,4,0.1,0.1,0,4,
111,1,ZGRE023MP,TURB.ADMSN.PRES.,0.11,7.6,MPa,120,SIMHW_RPC,118,10816,6.030416,0x1502a40,4,5,5,0.1,0.1,0,4,
112,1,ZGRE024MP,TURB.ADMSN.PRES.,0.11,7.6,MPa,120,SIMHW_RPC,118,10820,6.030416,0x1502a44,4,5,6,0.1,0.1,0,4,
113,1,ZPTR018MN,PTR 001BA LEVEL,0.5,16,m,120,SIMHW_RPC,118,10824,15.57826,0x1502a48,4,5,7,0.1,0.1,0,4,
114,1,ZPTR019MN,PTR 001BA LEVEL,0.5,16,m,120,SIMHW_RPC,118,10828,15.57826,0x1502a4c,4,5,8,0.1,0.1,0,4,
115,1,ZPTR020MN,PTR 001BA LEVEL,0.5,16,m,120,SIMHW_RPC,118,10832,15.57826,0x1502a50,4,5,9,0.1,0.1,0,4,
116,1,ZRCP005MP,PRESSURIZER PRESSURE,11,18,MPa,120,SIMHW_RPC,118,10836,15.40487,0x1502a54,4,5,10,0.1,0.1,0,4,
117,1,ZRCP006MP,PRESSURIZER PRESSURE,11,18,MPa,120,SIMHW_RPC,118,10840,15.40487,0x1502a58,4,5,11,0.1,0.1,0,4,
118,1,ZRCP007MN,PRESSURIZER LEVEL,-6,3.8,m,120,SIMHW_RPC,118,10844,0.1626095,0x1502a5c,4,5,12,0.1,0.1,0,4,
119,1,ZRCP008MN,PRESSURIZER LEVEL,-6,3.8,m,120,SIMHW_RPC,118,10848,0.1626095,0x1502a60,4,5,13,0.1,0.1,0,4,
120,1,ZRCP011MN,PRESSURIZER LEVEL,-6,3.8,m,120,SIMHW_RPC,118,10852,0.1626095,0x1502a64,4,5,14,0.1,0.1,0,4,
121,1,ZRCP013MP,PRESSURIZER PRESSURE,11,18,MPa,120,SIMHW_RPC,118,10856,15.40487,0x1502a68,4,5,15,0.1,0.1,0,4,
122,1,ZRCP025MD,LOOP1 FLOW,0,1,-,120,SIMHW_RPC,118,10860,0.6955969,0x1502a6c,4,5,16,0.1,0.1,0,4,
123,1,ZRCP026MD,LOOP1 FLOW,0,1,-,120,SIMHW_RPC,118,10880,0.6955969,0x1502a80,4,6,1,0.1,0.1,0,4,
124,1,ZRCP027MD,LOOP1 FLOW,0,1,-,120,SIMHW_RPC,118,10884,0.6955969,0x1502a84,4,6,2,0.1,0.1,0,4,
125,1,ZRCP037MP,RRA SUCTION LINE P,0,20,MPa,120,SIMHW_RPC,118,10888,15.57043,0x1502a88,4,6,3,0.1,0.1,0,4,
126,1,ZRCP039MP,RRA SUCTION LINE P,0,20,MPa,120,SIMHW_RPC,118,10892,15.57043,0x1502a8c,4,6,4,0.1,0.1,0,4,
127,1,ZRCP040MD,LOOP2 FLOW,0,1,-,120,SIMHW_RPC,118,10896,0.6954539,0x1502a90,4,6,5,0.1,0.1,0,4,
128,1,ZRCP041MD,LOOP2 FLOW,0,1,-,120,SIMHW_RPC,118,10900,0.6954539,0x1502a94,4,6,6,0.1,0.1,0,4,
129,1,ZRCP042MD,LOOP2 FLOW,0,1,-,120,SIMHW_RPC,118,10904,0.6954539,0x1502a98,4,6,7,0.1,0.1,0,4,
130,1,ZRCP052MD,LOOP3 FLOW,0,1,-,120,SIMHW_RPC,118,10908,0.6951201,0x1502a9c,4,6,8,0.1,0.1,0,4,
131,1,ZRCP053MD,LOOP3 FLOW,0,1,-,120,SIMHW_RPC,118,10912,0.6951201,0x1502aa0,4,6,9,0.1,0.1,0,4,
132,1,ZRCP054MD,LOOP3 FLOW,0,1,-,120,SIMHW_RPC,118,10916,0.6951201,0x1502aa4,4,6,10,0.1,0.1,0,4,
133,1,ZRCP070MM,RCP018VP DISPLACEMENT MEASUREMENT,0,17.5,mm,120,SIMHW_RPC,118,10920,5.799942,0x1502aa8,4,6,11,0.1,0.1,0,4,
134,1,ZRCP071MM,RCP018VP DISPLACEMENT MEASUREMENT,0,17.5,mm,120,SIMHW_RPC,118,10924,5.799942,0x1502aac,4,6,12,0.1,0.1,0,4,
135,1,ZRCP072MM,RCP019VP DISPL.MEAS.,0,17.5,mm,120,SIMHW_RPC,118,10928,5.799942,0x1502ab0,4,6,13,0.1,0.1,0,4,
136,1,ZRCP073MM,RCP021VP DISPLACEMENT MEASUREMENT,0,17.5,mm,120,SIMHW_RPC,118,10932,0.000233657,0x1502ab4,4,6,14,0.1,0.1,0,4,
